,Team,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,FTM/A,OFF,DEF,TOT,AVG
2022,Mens,at Idaho St.,12/04/21,73-70,W,20-46,.923,9-18,24-26,8,25,33,38.3
2022,Mens,at South Dakota,12/11/21,71-76,L (OT),27-72,.545,11-31,6-11,12,30,42,38.7
2022,Mens,vs San Diego,12/18/21,59-69,L,23-59,.750,4-10,9-12,6,19,25,37.5
2022,Mens,at Gonzaga,12/20/21,49-95,L,21-65,.667,5-22,2-3,15,25,40,37.7
2022,Mens,vs Eastern Wash.,01/01/22,65-78,L,22-61,.818,12-32,9-11,10,18,28,36.9
2022,Mens,vs Embry-Riddle (AZ),01/05/22,101-54,W,37-61,.357,17-29,10-28,11,37,48,37.7
2022,Mens,vs Idaho,01/17/22,74-72,W,28-63,.556,8-24,10-18,8,36,44,38.1
2022,Mens,vs Montana St.,01/20/22,84-89,L,30-56,.667,12-21,12-18,9,21,30,37.6
2022,Mens,vs Montana,01/22/22,48-58,L,18-51,.700,5-23,7-10,5,31,36,37.5
2022,Mens,vs Sacramento St.,01/24/22,70-65,W,23-54,.667,10-27,14-21,11,23,34,37.3
2022,Mens,vs Portland St.,01/29/22,76-97,L,27-55,.571,10-23,12-21,13,21,34,37.2
2022,Mens,at Southern Utah,01/31/22,66-78,L,24-61,.500,13-34,5-10,5,28,33,37.0
2022,Mens,at Sacramento St.,02/03/22,62-61,W,20-52,.733,11-27,11-15,14,23,37,37.0
2022,Mens,vs Northern Colo.,02/05/22,71-74,L,28-64,.500,10-29,5-10,12,29,41,37.1
2022,Mens,at Northern Colo.,02/07/22,60-82,L,22-66,.750,10-32,6-8,14,24,38,37.2
2022,Mens,at Montana,02/10/22,72-67,W (OT),22-51,.750,7-21,21-28,10,26,36,37.1
2022,Mens,at Montana St.,02/12/22,70-72,L,24-57,.765,9-26,13-17,13,23,36,37.1
2022,Mens,at Portland St.,02/17/22,67-68,L,25-55,.538,10-27,7-13,13,28,41,37.2
2022,Mens,vs Southern Utah,02/21/22,48-79,L,19-55,.889,2-14,8-9,6,25,31,37.0
2022,Mens,vs Idaho St.,02/24/22,66-70,L,27-56,.800,8-23,4-5,10,28,38,37.0
2022,Mens,vs Weber St.,02/26/22,49-73,L,19-49,.333,7-20,4-12,8,19,27,36.7
2022,Mens,at Eastern Wash.,03/03/22,62-69,L,22-58,.667,10-26,8-12,11,28,39,36.8
2022,Mens,at Idaho,03/05/22,69-78,L,25-65,.706,7-32,12-17,12,25,37,36.8
2022,Mens,at Eastern Wash.,03/09/22,75-78,L,29-67,.643,8-23,9-14,18,19,37,36.8
2021,Mens,at Arizona,12/07/20,53-96,L,18-59,.600,5-20,12-20,11,13,24,24.0
2021,Mens,vs UC Riverside,12/10/20,50-74,L,14-50,.750,4-20,18-24,9,18,27,25.5
2021,Mens,at Colorado St.,12/14/20,52-91,L,19-53,.818,5-24,9-11,4,23,27,26.0
2021,Mens,vs Eastern Wash.,12/19/20,64-80,L,22-59,.565,7-21,13-23,8,18,26,26.0
2021,Mens,at Texas St.,12/21/20,65-70,L,25-44,.571,7-19,8-14,4,18,22,25.2
2021,Mens,at Denver,12/22/20,68-65,W,23-57,.826,3-15,19-23,11,22,33,26.5
