,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2016,Mens,13,"Rivera-Vega, Felix",27,14.8,.454,.378,.488,1.3,2.6,3.9,0.2,0.4,0.1,4.5
2016,Mens,02,"Brown, Corey",30,12.1,.608,.000,.514,1.1,1.4,2.5,0.1,0.2,0.3,3.6
2016,Mens,15,"Searcy, Junior",6,9.2,.583,.500,.833,0.7,1.0,1.7,0.2,0.2,0.2,3.3
2016,Mens,14,"Twombly, Brady",21,11.0,.404,.350,.750,0.4,1.2,1.6,0.1,0.2,0.2,3.0
2016,Mens,33,"Thomas, Isaiah",30,8.6,.533,.000,.647,0.5,1.0,1.5,0.1,0.1,0.4,2.0
2016,Mens,12,"de Laveaga, Kye",19,8.5,.222,.235,.857,0.0,0.5,0.5,0.8,0.3,0.1,1.6
2016,Mens,03,"Ndiaye, Omar",2,1.5,.500,.500,.000,0.0,0.5,0.5,0.0,0.0,0.0,1.5
2016,Mens,23,"Lee, Austin",3,2.0,1.000,1.000,.000,0.0,0.3,0.3,0.0,0.0,0.0,1.0
2016,Mens,20,"Stanley, Steven",6,2.0,.667,.000,.000,0.0,0.2,0.2,0.2,0.0,0.0,0.7
2016,Mens,24,"Stecca, Alessandro",3,1.7,.000,.000,.500,0.0,0.3,0.3,0.0,0.0,0.3,0.3
2024,Womens,12,"Glancey, Sophie",31,25.8,.528,.500,.722,2.8,4.4,7.2,0.8,0.6,1.1,15.2
2024,Womens,15,"Beattie, Leia",31,27.9,.427,.420,.808,1.4,3.5,4.9,2.7,1.3,0.2,11.7
2024,Womens,21,"Rodabaugh, Emily",30,31.3,.390,.370,.825,0.4,5.1,5.5,2.2,1.4,0.7,11.5
2024,Womens,22,"Moran, Olivia",31,22.9,.393,.296,.795,1.2,1.8,2.9,1.8,0.9,0.2,8.9
2024,Womens,03,"Beasley, Grace",24,20.9,.400,.234,.886,0.8,3.6,4.3,2.9,1.3,0.1,8.8
2024,Womens,02,"Moran, Nyah",30,28.3,.368,.291,.679,1.0,1.1,2.2,2.2,1.3,0.1,7.9
2024,Womens,05,"Feldman, Taylor",31,21.5,.391,.368,.864,0.6,2.2,2.8,2.8,0.8,0.1,6.8
2024,Womens,33,"Neverson, Saniyah",31,16.2,.518,.364,.714,1.3,2.9,4.2,0.9,0.6,0.7,4.5
2024,Womens,01,"Cummins, Allie",26,8.7,.435,.308,.667,0.4,0.5,0.9,0.4,0.1,0.0,2.2
2024,Womens,13,"Schmidt, Ava",21,5.3,.333,.294,.500,0.1,0.8,0.9,0.2,0.2,0.2,1.4
2024,Womens,11,"Taylor, Audrey",14,3.9,.235,.111,.000,0.1,0.5,0.6,0.5,0.1,0.0,0.6
2024,Womens,24,"Clark, Reilly",13,3.8,.167,.000,.750,0.3,0.5,0.8,0.3,0.1,0.0,0.5
2023,Womens,01,"Schenck, Regan",35,34.1,.423,.395,.889,1.5,3.3,4.8,6.6,0.9,0.1,13.0
2023,Womens,25,"Oltrogge, Montana",30,27.5,.376,.320,.820,0.8,6.6,7.4,0.8,0.6,0.4,11.5
2023,Womens,21,"Rodabaugh, Emily",35,33.7,.368,.321,.833,0.3,4.7,5.0,1.6,1.6,0.8,10.8
2023,Womens,02,"Moran, Nyah",31,28.2,.362,.288,.619,1.2,1.6,2.8,1.7,1.3,0.1,10.1
2023,Womens,22,"Moran, Olivia",35,24.8,.441,.392,.675,1.8,1.8,3.6,1.7,0.8,0.1,8.8
2023,Womens,12,"Glancey, Sophie",34,18.4,.509,.300,.597,1.5,2.9,4.4,0.2,0.5,0.2,7.9
2023,Womens,45,"Jaiteh, Fatoumata",34,17.4,.494,.357,.716,2.2,2.0,4.2,0.5,1.0,0.6,7.0
2023,Womens,05,"Feldman, Taylor",32,10.5,.283,.167,.540,0.4,0.9,1.3,0.6,0.3,0.0,3.0
2023,Womens,33,"Neverson, Saniyah",33,9.5,.542,.200,.786,0.9,1.2,2.1,0.4,0.2,0.4,2.8
2023,Womens,04,"McMorris, Mary",29,10.0,.315,.280,.640,0.3,1.1,1.4,1.0,0.8,0.1,2.7
2023,Womens,24,"Ramesh, Sanjana",6,6.0,.700,.000,.000,1.2,1.3,2.5,0.5,0.5,0.3,2.3
2023,Womens,11,"Taylor, Audrey",11,3.8,.357,.214,.667,0.0,0.2,0.2,0.2,0.5,0.0,2.3
2022,Womens,15,"Rasheed, Khiarica",29,25.8,.472,.227,.694,1.9,4.9,6.8,1.3,0.8,0.2,11.1
2022,Womens,20,"Orndoff, Lauren",31,26.7,.461,.391,.767,0.9,1.6,2.5,1.1,1.1,0.3,11.0
2022,Womens,21,"Rodabaugh, Emily",30,22.6,.460,.423,.711,0.7,3.7,4.4,0.7,1.1,1.0,10.0
2022,Womens,30,"Radford, Nina",28,24.1,.418,.402,.864,0.4,3.5,3.9,1.7,0.6,0.2,8.8
2022,Womens,14,"Maio, Miki'ala",25,23.6,.443,.214,.813,0.8,1.9,2.7,2.6,1.1,0.2,8.5
2022,Womens,03,"Nakai, JJ",3,14.0,.500,.556,1.000,0.0,1.7,1.7,1.0,0.0,0.0,7.3
2022,Womens,01,"Schenck, Regan",31,34.0,.370,.220,.682,1.1,4.1,5.2,5.9,1.3,0.0,6.5
2022,Womens,22,"Moran, Olivia",28,13.5,.466,.370,.694,1.0,1.3,2.3,0.4,0.7,0.0,5.9
2022,Womens,02,"Moran, Nyah",31,16.7,.397,.400,.571,0.7,1.2,1.8,0.8,0.8,0.1,5.1
2022,Womens,45,"Jaiteh, Fatoumata",30,9.2,.473,.000,.638,0.7,0.9,1.6,0.4,0.4,0.3,3.9
2022,Womens,13,"Mich'l, Sierra",25,8.1,.469,.000,.771,1.0,1.2,2.2,0.1,0.3,0.7,3.9
2022,Womens,11,"McDaniel, Teionni",19,10.0,.489,.167,.727,0.3,1.0,1.3,1.3,0.5,0.1,2.9
2022,Womens,50,"Bryant, Sentia",9,3.1,.462,.000,.500,0.3,0.6,0.9,0.1,0.0,0.1,1.4
2022,Womens,24,"Ramesh, Sanjana",3,5.7,.400,.000,.000,0.3,0.7,1.0,0.0,0.3,0.0,1.3
